City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Fairbanks,US,54.0,light rain,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
17,Pasighat,IN,76.96,light rain,28.07,95.33,Siang Guest House
32,Vostok,RU,46.2,light rain,46.49,135.88,
56,Banda Aceh,ID,76.68,moderate rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
69,Khasan,RU,61.2,moderate rain,42.43,130.64,Krako Motorkár
89,Hofn,IS,51.3,light rain,64.25,-15.21,Hótel Höfn
92,Langsa,ID,74.57,light rain,4.47,97.97,OYO 2964 Hotel Ridho
98,Padang,ID,77.34,light rain,-0.95,100.35,Mercure Padang
108,Hilo,US,78.8,light rain,19.73,-155.09,Hilo Hawaiian Hotel
143,Hobart,AU,55.0,light intensity shower rain,-42.88,147.33,St Ives Apartments
144,Jumla,NP,60.42,light rain,29.27,82.18,Hotel Sundar Rara Karnali
155,Kamenka,RU,66.0,light rain,51.32,42.77,
173,Bengkulu,ID,76.69,light rain,-3.8,102.27,Grage Hotel Bengkulu
187,Biak,ID,76.73,light rain,-0.91,122.88,Kost Ariz
196,Toora-Khem,RU,54.1,light rain,52.47,96.11,
203,Hamakita,JP,73.0,light rain,34.8,137.78,Hamakitapurazahoteru
220,New Norfolk,AU,55.0,light rain,-42.78,147.06,The Shingles Riverside Cottages
230,Koidu,SL,75.25,light rain,8.42,-10.83,
252,Kaa-Khem,RU,45.09,moderate rain,51.68,94.73,
306,Polunochnoye,RU,45.46,light rain,60.87,60.42,
332,Vyazemskiy,RU,53.17,light rain,47.54,134.75,Dom Otdykha Dlya Rabotnikov Rzhd
365,Hamilton,US,73.99,moderate rain,39.18,-84.53,Six Acres Bed & Breakfast
367,Wucheng,CN,74.53,moderate rain,29.6,118.17,Xiuwu Restaurant
380,Fujin,CN,56.07,light rain,47.26,132.03,Xilong Hotel Fujin Shop
393,Mukhen,RU,51.39,moderate rain,48.1,136.1,
395,Bagdarin,RU,46.85,light rain,54.43,113.6,Gostevoy Dom Terem
399,Kapit,MY,74.46,moderate rain,2.02,112.93,Hotel Meligai Kapit
426,Durban,ZA,69.01,light rain,-29.86,31.03,Hilton Durban
429,Kargasok,RU,54.09,light rain,59.06,80.86,Hotel Kargasok
436,Launceston,AU,46.4,light rain,-41.45,147.17,Hotel Grand Chancellor Launceston
437,Capitao Poco,BR,78.12,moderate rain,-1.75,-47.06,Hotel New Tokyo
439,Mirnyy,RU,57.2,light rain,62.54,113.96,"Гостиница ""УЮТ"""
441,Raudeberg,NO,59.0,light rain,61.99,5.14,Nordre Silda.
443,Beyla,GN,71.76,light rain,8.68,-8.63,
468,Meulaboh,ID,74.82,heavy intensity rain,4.14,96.13,Kost Pria
479,Monrovia,LR,78.39,light rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
488,Sambava,MG,73.2,light rain,-14.27,50.17,Melrose
500,Bonthe,SL,79.93,light rain,7.53,-12.51,Bonthe Holiday Village
505,Bangangte,CM,62.38,light rain,5.14,10.52,Hôtel Cristal Foua Ndigong
513,Amapa,BR,78.58,light rain,1.0,-52.0,
518,Petrov Val,RU,65.86,light rain,50.14,45.21,K.marksa 12
521,Pinawa,CA,58.84,light rain,50.15,-95.88,Pinawa Motel
530,Khirkiya,IN,79.3,moderate rain,22.17,76.86,Sanjay Industries
547,Gorontalo,ID,74.62,light rain,0.54,123.06,Maqna Hotel by Prasanthi
567,Tezu,IN,76.48,light rain,27.92,96.17,Circuit House
571,Lafia,NG,76.26,moderate rain,8.48,8.52,Low Cost Housing Estate
